A,B,C,D,E,F,HDT_0.455©,UTS(Mpa),Modulus(Gpa),EAB%,Viscosity_75C(cp),R value
50,5.29,16.8,25.91,2,0,163.4,48.09,2.46,2.47,7.9339,5.001223755
36,12,21,29,2,0,147.4,50.07,2.23,3.1,7.4868,4.059850054
50,12,25.02,10.98,2,0,135.7,64.8,2.62,3.82,9.516,3.360604731
36.77,9.92,17.22,26.7,9.4,0,111.4,59.11,2.04,8.29,7.0871,3.199029266
40.57,5.43,21,29,4,0,134.1,56.08,2.25,4.1,6.3723,3.708773676
48.6,12,20,10,9.4,0,112.5,62.61,2.3,5.75,9.7488,2.800433739
35.48,12,26.33,23.67,2.52,0,122.5,61.77,2.24,5.17,7.5548,3.204296562
37.67,4.6,13.79,28.93,15,0,65.4,51.59,2.28,7.51,7.5548,2.80211393
47.49,5.2,16.89,28.42,2,0,161.9,61.28,2.2,4.28,7.6175,5.000804782
50,6.78,16.18,14.45,12.6,0,105.7,62.26,2.13,7.6,9.5443,2.799339007
50,0,25.24,22.76,2,0,140,52.27,2.51,3.56,7.113,3.509390693
50,0,13.75,21.25,15,0,93.9,57.14,2.13,7.29,8.0644,2.800256402
42.26,3.68,29,21,4.07,0,119,61.34,2.17,5.53,7.0825,2.799743923
50,0,10,29,11,0,115.1,56.52,2.16,4.6,7.6402,4.048993564
50,9.82,10,20,10.18,0,124.3,59.23,2.42,4.58,9.4794,4.070467479
50,12,16.27,19.73,2,0,157.2,62.78,2.67,3.82,9.2734,5.001033238
35.23,12,10,27.78,15,0,81.8,51.71,1.94,9.31,8.4818,3.126849486
42.13,11.1,10,23,13.77,0,,57.34,1.97,8.37,9.0461,3.314730597
29,12,21.68,28.32,9,0,,56.43,2.23,7.41,7.0345,2.800390631
35.70075243,17.2342559,13.36245427,19.5562747,14.1462627,0,82,53.46,2.03,8.09,9.3099,2.799999115
36.91208276,16.85257449,10,22.17092657,14.06441619,0,97.6,52.15,2.00,6.24,9.3866,3.201878128
35.62419366,14.13822773,10.06495583,28.17262277,12,0,114,50.22,1.78,4.45,8.4664,3.655414415
32,19.9960738,10.35548532,21.93965487,15.708786,0,72,52.03,2.21,10.51,9.3773,2.869006733
32,20,16.1948771,19.8051229,12,0,88.90,54.263,2.043,6.643,9.2059,2.799998858
32,14,15.16559513,25.50253265,13.33187222,0,79.8,52.72,1.94,9.24,8.1539,2.799999341
35.72995115,20,10,18,16.27004885,0,75.60,53.12,1.98,11.435,6.6937,2.799999316
36.91208276,16.85257449,10,22.17092657,14.06441619,0,93.7,57.405,2.12,5.215,9.2625,3.201878128
32.0604006,16.85205619,13.32396202,25.76358118,12,0,97.5,51.58,2.07,4.26,8.6932,3.167011112
32,15.73871849,10.37969718,25.85811982,16.02346451,0,75.3,48.77,2.14,6.40,,2.881690194
41.81475776,14.45635284,10,21.7288894,12,0,112.3,39.63,1.91,2.42,,3.615489263
32,20,10,26,12,0,111.4,53.82,2.37,8.20,,3.588459364
39.61570589,14,13.72012468,20.66416943,12,0,108.6,60.27,2.10,5.73,,3.114485905
34.76918714,15.52537299,15.36408718,22.3413527,12,0,86.9,51.24,2.13,5.45,,2.933440298
38.49422065,14,11.27125948,24.23451987,12,0,114.1,54.96,1.93,6.54,,3.449503653
42.64006758,14,11.57676055,18,13.78317186,0,101,58.14,1.96,6.32,,3.059382918
39.8605775,14,10,19.44063058,16.69879192,0,77,53.945,2.14,7.91,,2.799999444
37.46038132,20,12.18961868,18,12.35,0,104,54.21,2.15,5,,3.166326465
37.81957312,15.72185446,16.45857242,18,12,0,98.1,,,,,2.800039189
32,14,10,31.57864275,12.42135725,0,111.6,54.93,1.95,5.92,,3.604021749
43,17,10,18,12,0,115.1,,,,,3.561737064
35.7558973,17.46203656,12.10327521,20.90065155,13.77813938,0,96.9,53.00,2.12,4.95,,2.988378445
32.40170056,20,12.92793321,22.67036623,12,0,101.5,57.32,2.34,5.575,,3.165660522
34.89623323,14,12.38131006,23.52114076,15.20131596,0,83.2,50.27,2.11,10.29,,2.799999476
52,0,5,19.85,10.15,13,121.8,56.29,1.87,11.35,21.749,4.735300895
51.08,0,5,20.76,10.16,13,120.8,53.46,1.7,9.33,21.624,4.741070772
50.71,2.5,5.42,12.58,15.87,12.92,95,46.37,1.86,9.67,22.579,3.04252813
50.59,0,5.2,14.78,16.43,13,94.4,43.95,2.24,6.83,21.932,3.007926518
47.63,0,5.2,17.53,16.64,13,91.2,41.75,1.77,12.9,20.687,2.99004432
51,0,5.2,14.39,16.41,13,93.7,45.73,1.89,15.18,22.505,3.008710931
36,0,6,30.36,14.95,12.69,96,41.96,1.89,14.03,16.359,3.309656642
40.81,0,10.08,22.59,13.86,12.66,95.2,44.66,1.82,12.95,17.013,2.920440322
38.31,0.1,17.35,22.67,8.85,12.72,108.4,47.97,2.07,11.2,15.384,2.895804061
38.03,0,15.94,24.06,9.43,12.54,108.9,45.23,1.71,7.45,15.23,2.976207714
42.11,0,7.77,22.73,15.4,11.99,80.9,39.84,1.71,12.42,16.273,2.963545316
48.57,0,6.32,18.29,16.9,9.92,81.9,43.5,1.83,9.67,16.029,2.933801996
45.43,3,5.2,19.66,16.9,9.81,80.5,44.14,2.15,13.41,16.536,3.055803001
